
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/LambdaMART_300_5.txt

[+] LambdaMART's Parameters:
No. of trees: 300
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(938 ranked lists, 9847 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(964 ranked lists, 9726 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(937 ranked lists, 9619 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.6762    | 0.688     | 
2       | 0.6822    | 0.6942    | 
3       | 0.6841    | 0.6953    | 
4       | 0.6827    | 0.6922    | 
5       | 0.6831    | 0.6932    | 
6       | 0.688     | 0.6935    | 
7       | 0.688     | 0.6936    | 
8       | 0.6888    | 0.6951    | 
9       | 0.6908    | 0.698     | 
10      | 0.695     | 0.7032    | 
11      | 0.6975    | 0.7058    | 
12      | 0.6994    | 0.7081    | 
13      | 0.701     | 0.7091    | 
14      | 0.7017    | 0.7079    | 
15      | 0.7025    | 0.7099    | 
16      | 0.7055    | 0.7121    | 
17      | 0.7053    | 0.7112    | 
18      | 0.7069    | 0.7133    | 
19      | 0.7073    | 0.7142    | 
20      | 0.7094    | 0.7142    | 
21      | 0.7107    | 0.7154    | 
22      | 0.7125    | 0.7145    | 
23      | 0.7139    | 0.7157    | 
24      | 0.7159    | 0.7168    | 
25      | 0.7151    | 0.7185    | 
26      | 0.7148    | 0.7197    | 
27      | 0.7173    | 0.7212    | 
28      | 0.7172    | 0.7208    | 
29      | 0.7178    | 0.721     | 
30      | 0.7187    | 0.7208    | 
31      | 0.7188    | 0.72      | 
