
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	MART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/MART_300_5.txt

[+] MART's Parameters:
No. of trees: 300
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(938 ranked lists, 9847 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(964 ranked lists, 9726 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(937 ranked lists, 9619 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.6685    | 0.6943    | 
2       | 0.672     | 0.7006    | 
3       | 0.6797    | 0.7037    | 
4       | 0.6857    | 0.7095    | 
5       | 0.6899    | 0.7097    | 
6       | 0.6928    | 0.713     | 
7       | 0.6929    | 0.7157    | 
8       | 0.6936    | 0.7153    | 
9       | 0.6963    | 0.7151    | 
10      | 0.701     | 0.7187    | 
11      | 0.7045    | 0.7185    | 
12      | 0.7084    | 0.7202    | 
13      | 0.7074    | 0.7211    | 
14      | 0.709     | 0.7219    | 
15      | 0.7086    | 0.723     | 
16      | 0.7101    | 0.7226    | 
17      | 0.7116    | 0.7235    | 
18      | 0.7135    | 0.7249    | 
19      | 0.7152    | 0.7248    | 
20      | 0.714     | 0.7237    | 
21      | 0.7158    | 0.7263    | 
22      | 0.7178    | 0.7235    | 
23      | 0.7189    | 0.7252    | 
24      | 0.7196    | 0.725     | 
25      | 0.7204    | 0.7252    | 
26      | 0.7214    | 0.7277    | 
27      | 0.7222    | 0.7282    | 
28      | 0.7243    | 0.7293    | 
29      | 0.7249    | 0.7284    | 
30      | 0.7252    | 0.7287    | 
31      | 0.7249    | 0.7284    | 
32      | 0.7269    | 0.7288    | 
33      | 0.7274    | 0.729     | 
34      | 0.7291    | 0.7292    | 
35      | 0.729     | 0.7304    | 
36      | 0.7292    | 0.7315    | 
37      | 0.7293    | 0.7307    | 
38      | 0.7308    | 0.7314    | 
39      | 0.731     | 0.7303    | 
40      | 0.7316    | 0.7304    | 
41      | 0.7324    | 0.7302    | 
42      | 0.7338    | 0.731     | 
43      | 0.7343    | 0.7323    | 
44      | 0.7345    | 0.7315    | 
45      | 0.7345    | 0.7314    | 
46      | 0.7362    | 0.7302    | 
47      | 0.7361    | 0.7302    | 
48      | 0.7366    | 0.7303    | 
49      | 0.7368    | 0.73      | 
50      | 0.7369    | 0.7298    | 
51      | 0.7373    | 0.7302    | 
52      | 0.7385    | 0.729     | 
53      | 0.7387    | 0.7294    | 
54      | 0.7389    | 0.7297    | 
55      | 0.7384    | 0.7295    | 
56      | 0.7389    | 0.729     | 
57      | 0.739     | 0.7297    | 
58      | 0.7384    | 0.7291    | 
59      | 0.7388    | 0.7296    | 
60      | 0.7397    | 0.7297    | 
61      | 0.7409    | 0.7294    | 
62      | 0.7409    | 0.7299    | 
63      | 0.7419    | 0.7298    | 
64      | 0.7424    | 0.7295    | 
65      | 0.7429    | 0.7296    | 
66      | 0.7432    | 0.7299    | 
67      | 0.7426    | 0.7309    | 
68      | 0.7431    | 0.7306    | 
69      | 0.7432    | 0.7306    | 
70      | 0.7438    | 0.7309    | 
71      | 0.7447    | 0.7309    | 
72      | 0.7445    | 0.7314    | 
73      | 0.7451    | 0.7302    | 
74      | 0.7448    | 0.7299    | 
75      | 0.7451    | 0.7297    | 
76      | 0.7456    | 0.7296    | 
77      | 0.7464    | 0.7295    | 
78      | 0.7466    | 0.7303    | 
79      | 0.7471    | 0.7307    | 
80      | 0.7475    | 0.7315    | 
81      | 0.7478    | 0.7309    | 
82      | 0.7476    | 0.7306    | 
83      | 0.7481    | 0.7307    | 
84      | 0.7478    | 0.7311    | 
85      | 0.7474    | 0.7304    | 
86      | 0.7482    | 0.7303    | 
87      | 0.7481    | 0.7297    | 
88      | 0.7489    | 0.729     | 
89      | 0.7489    | 0.7294    | 
90      | 0.7487    | 0.7295    | 
91      | 0.7487    | 0.7295    | 
92      | 0.7487    | 0.7296    | 
93      | 0.7493    | 0.7298    | 
94      | 0.7496    | 0.7302    | 
95      | 0.7502    | 0.7302    | 
96      | 0.7504    | 0.731     | 
97      | 0.7506    | 0.7309    | 
98      | 0.7507    | 0.7308    | 
99      | 0.751     | 0.7305    | 
100     | 0.7511    | 0.7313    | 
101     | 0.7518    | 0.7305    | 
102     | 0.752     | 0.7301    | 
103     | 0.7519    | 0.7302    | 
104     | 0.7518    | 0.7312    | 
105     | 0.7521    | 0.7313    | 
106     | 0.7527    | 0.731     | 
107     | 0.7533    | 0.7308    | 
108     | 0.7541    | 0.7308    | 
109     | 0.7542    | 0.7302    | 
110     | 0.7545    | 0.73      | 
111     | 0.755     | 0.7299    | 
112     | 0.7557    | 0.7296    | 
113     | 0.7553    | 0.73      | 
114     | 0.7547    | 0.7296    | 
115     | 0.755     | 0.7297    | 
116     | 0.7551    | 0.73      | 
117     | 0.7551    | 0.7297    | 
118     | 0.7555    | 0.7297    | 
119     | 0.7561    | 0.7298    | 
120     | 0.7561    | 0.7297    | 
121     | 0.7565    | 0.7293    | 
122     | 0.7562    | 0.7294    | 
123     | 0.7564    | 0.7294    | 
124     | 0.7573    | 0.7297    | 
125     | 0.7575    | 0.7296    | 
126     | 0.7573    | 0.7294    | 
127     | 0.7571    | 0.7294    | 
128     | 0.7578    | 0.7295    | 
129     | 0.7574    | 0.7302    | 
130     | 0.7572    | 0.7301    | 
131     | 0.7573    | 0.7301    | 
132     | 0.758     | 0.7302    | 
133     | 0.7586    | 0.7301    | 
134     | 0.7585    | 0.729     | 
135     | 0.7594    | 0.729     | 
136     | 0.7587    | 0.7291    | 
137     | 0.7586    | 0.7292    | 
138     | 0.7586    | 0.7292    | 
139     | 0.7586    | 0.7294    | 
140     | 0.7592    | 0.7301    | 
